ZONE,PM2.5,DATE,TIME,STATION,WEBSITE
ต.นาจักร อ.เมือง จ.แพร่,259,1/28/2020,11:00 - 12:00,69t อุตุนิยมวิทยาจังหวัดแพร่ undefined,http://air4thai.pcd.go.th/webV2/history/
ต.สบป้าด อ.แม่เมาะ จ.ลำปาง,180,1/28/2020,11:00 - 12:00,38t โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านสบป้าด undefined,http://air4thai.pcd.go.th/webV2/history/
ต.บ้านต๋อม อ.เมือง จ.พะเยา,112,1/28/2020,11:00 - 12:00,70t อุทยานการเรียนรู้ องค์การบริหารส่วนจังหวัดพะเยา undefined,http://air4thai.pcd.go.th/webV2/history/
ต.ในเวียง อ.เมือง จ.น่าน,99,1/28/2020,11:00 - 12:00,67t สำนักงานเทศบาลเมืองน่าน undefined,http://air4thai.pcd.go.th/webV2/history/
ต.เวียงพางคำ อ.แม่สาย จ.เชียงราย,56,1/28/2020,11:00 - 12:00,73t สำนักงานสาธารณสุขแม่สาย undefined,http://air4thai.pcd.go.th/webV2/history/
ต.จองคำ อ.เมือง จ.แม่ฮ่องสอน,36,1/28/2020,11:00 - 12:00,58t สำนักงานทรัพยากรธรรมชาติและสิ่งแวดล้อมจังหวัดแม่ฮ่องสอน undefined,http://air4thai.pcd.go.th/webV2/history/
ต.บ้านกลาง อ.เมือง จ.ลำพูน,54,1/28/2020,11:00 - 12:00,68t สถานีอุตุนิยมวิทยาจังหวัดลำพูน undefined,http://air4thai.pcd.go.th/webV2/history/
ต.ศรีภูมิ อ.เมือง จ.เชียงใหม่,63,1/28/2020,11:00 - 12:00,36t โรงเรียนยุพราชวิทยาลัย undefined,http://air4thai.pcd.go.th/webV2/history/
ต.แม่ปะ อ.แม่สอด จ.ตาก,79,1/28/2020,11:00 - 12:00,76t ศูนย์การศึกษานอกโรงเรียน undefined,http://air4thai.pcd.go.th/webV2/history/
ต.คลองหนึ่ง อ.คลองหลวง จ.ปทุมธานี,33,1/28/2020,11:00 - 12:00,20t มหาวิทยาลัยกรุงเทพ วิทยาเขตรังสิต undefined,http://air4thai.pcd.go.th/webV2/history/
